,mean,stdev,min,25%,50%,75%,max
ap01,369.6,347.9,-0.5,40.8,279.0,623.4,1637.1
ap03,371.7,351.3,-0.4,40.8,279.0,626.3,1729.7
ap04,370.8,348.8,-0.4,40.9,280.6,625.4,1673.7
ap05,374.4,355.1,0.0,40.5,279.9,630.1,1684.5
ap06,376.3,355.9,-0.4,40.6,282.6,634.3,1688.9
ap07,375.6,357.2,-0.4,38.2,279.8,634.2,1743.3
dh01,370.3,349.6,-0.4,37.3,278.3,626.4,1711.8
dh02,371.4,351.7,-0.7,37.7,277.8,627.9,1712.6
dh03,377.2,363.1,-0.5,36.8,275.5,636.2,1776.9
dh04,370.6,350.5,-0.4,40.4,277.6,625.0,1700.4
dh05,374.5,354.9,-0.4,40.2,279.7,632.0,1679.1
dh06,375.2,354.7,-0.4,39.9,281.3,633.6,1695.7
dh07,376.6,356.3,-0.4,40.9,281.6,635.9,1695.8
dh08,371.4,351.6,-0.4,40.4,277.9,626.0,1690.0
dh09,375.3,363.1,-0.5,36.3,272.1,634.2,1774.3
dh10,374.9,353.1,-0.4,41.5,282.6,632.4,1683.5
dh11,371.6,351.1,-0.4,39.3,279.2,626.4,1671.9
